Dragon,Rarity,BreedAvailability,BreedElementOne,BreedElementTwo,BreedElementTwo,BreedElementThree,BreedElementFive,BreedDragonOne,BreedDragonTraitOne,BreedDragonTwo,BreedDragonTraitTwo,RequiredRiftAlignment,RequiredRiftTrait,RequiredElementCount,RequiredTimeOfDay,RequiredWeather,RequiredCave,BreedTime,BreedElements,BaseBreedChance,OwnOneBreedChance,OwnTwoBreedChance,NormalSingleClone,NormalDoubleClone,SocialSingleClone,SocialDoubleClone,RiftSingleClone,RiftDoubleClone,VisibleElements,EvolvesFrom,Riftable,Elderable,EarnGold,EarnEtherium,EarnGem,MagicCost,EventSection,ReqiuredTrait,Quest
Libretto,Epic,cloneable,,,,,,,,,,,,,,,,43200,PFCOr,0,,,0,0.3,0,0.3,0,0.3,PFCOr,Gift,TRUE,FALSE,160,240000,,,,,Vocal Victory
Librian,Epic,unavailable,air,,,,,Stygian,,,,,,,,,,86400,FAMD,0.032,,,0.05,0.3,0.04,0.15,0.05,0.3,AZo,,TRUE,FALSE,133,240000,,,,,Even Scales
Lichen,Hybrid,permanent,plant,cold,,,,,,,,,,,,,,21600,PC,,,,0.01,,0.1,0.2,0.01,,PC,,TRUE,FALSE,900,360000,,,,,Algae Analogy
Light,Primary,permanent,,,,,,,,,,,,,,,,36000,I,,,,0,,0,,0,,I,,FALSE,TRUE,900,,,,,,
Light Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,IR,,,,0,0,0,0,0.01,0.15,IR,,TRUE,FALSE,400,360000,,,,I,A Gift in the Rift
Lightmare,Epic,unavailable,,,,,,Moon,,Dream,,,,,,,,86400,PFECWLAMIDDrMo,0.035,,,0.05,0.3,0.01,0.15,0.05,0.3,DrMo,,TRUE,FALSE,190,240000,,,,,Dreamcatcher
Lightmatter,Epic,unavailable,,,,,,Pharaoh,,Prism,,,,,day,,,90000,FLIRbSu,0.02,,,0.05,0.3,0.01,0.05,0.05,0.3,RbSu,,TRUE,FALSE,190,240000,,,,,Light Up
Lightning,Primary,permanent,,,,,,,,,,,,,,,,1800,L,,,,0,,0,,0,,L,,FALSE,TRUE,650,,,,,,
Lightning Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,LR,,,,0,0,0,0,0.01,0.15,LR,,TRUE,FALSE,400,360000,,,,L,Bounceback Bluff
Limulimu,Rare,unavailable,plant,water,light,,,,,,,,,,,,,50400,PWI,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,PWI,,TRUE,FALSE,700,360000,,,,,Maritime Mission
Lodestone,Rare,permanent,metal,lightning,,,,,,,,,,,,,,91800,LM,0.05,,,0.01,,0.03,0.15,0.01,,LM,,TRUE,FALSE,900,360000,,,,,Magnet Junket
Lokilure,Epic,cloneable,,,,,,,,,,,,,,,,43200,FECMDOr,0,,,0,0.3,0,0.3,0,0.3,FECOr,Coal,TRUE,FALSE,125,240000,,,,,Tricksy Trickster
Longcicle,Rare,unavailable,cold,water,air,,,,,,,,,,,,,57600,CWA,0.03,,,0.05,0.3,0.05,0.1,0.05,0.3,CWA,,TRUE,FALSE,250,360000,,,,,As Long as Winter Itself
Loot,Epic,unavailable,plant,,,,,Gold,,,,,,,,,,126000,PEMTr,0.01,,,,,0.01,0.05,,,Tr,,TRUE,FALSE,167,240000,,,,,Plunder Thunder
Lotus,Hybrid,permanent,water,light,,,,,,,,,,,,,,25200,WI,,,,0.01,,0.1,0.2,0.01,,WI,,TRUE,FALSE,990,360000,,,,,Transcendent Traversal
Love,Rare,unavailable,lightning,,,,,Flower,,,,,,,,,,18000,PFL,0.04,,,0.01,,0.03,0.1,0.01,,PFL,,TRUE,FALSE,500,360000,,1140,1,,Heartbreak Hold
Lovesick,Rare,unavailable,,,,,,Sweetheart,,Cuddlewing,,,,,,,,64800,PFEL,0.031,,,0.01,0.3,0.1,0.2,0.01,0.3,PFEL,,TRUE,FALSE,140,360000,,,,,Strongest of Potions
Lovonone,Epic,unavailable,,,,,,Cupido,,Scorn,,,,,,,,97200,PFECLAu,0.029,,,0.05,0.3,0.01,0.15,0.05,0.3,Au,,TRUE,FALSE,115,240000,,,,,True Unity
Luck,Epic,unavailable,,,,,,Misfortune,,Clover,,,,,,,,54000,PETr,0.04,,,0.01,0.3,0.1,0.2,0.01,0.3,PETr,,TRUE,FALSE,110,240000,,,,,Lucky Day
Lullaby,Epic,unavailable,dream,,,,,Serenity,,,,,,,,,,93600,PFECWLAMIDDrMe,0.045,,,0.05,0.3,0.015,0.15,0.05,0.3,DrMe,,TRUE,FALSE,180,240000,,,,,Snoring
Lumineux,Epic,unavailable,dream,,,,,Love,,,,,,,,,,86400,PFECWLAMIDDr,0.038,,,0.01,0.3,0.1,0.2,0.01,0.3,PFLIDr,,TRUE,FALSE,190,240000,,,,,Group Hug
Luminous,Hybrid,permanent,light,plant,,,,,,,,,,,,,,46800,PI,,,,0.01,,0.1,0.2,0.01,,PI,,TRUE,FALSE,790,360000,,,,,Glowing Gulch
Lunar Eclipse,Epic,unavailable,air,cold,earth,,,,,,,,,,,,,172800,ECASuMo,0.03,0.02,,,,0.01,0.05,,,SuMo,,TRUE,FALSE,125,240000,,,,,Umbral Plunge
Lunis,Galaxy,permanent,galaxy,,,,,Moon,,,,,,,,,social,86400,ECLDGaMo,0.02,,,0,0,0.05,0.2,0,0,GaMo,,TRUE,FALSE,190,240000,,,,,A Lunar Tick
Lunk,Rare,unavailable,,,,,,Gamma,,Bastion,,,,,,,,72000,CLI,0.04,,,0.01,0.3,0.1,0.2,0.01,0.3,CLI,,TRUE,FALSE,160,360000,,,,,Pumping Metal
Lycan,Rare,unavailable,plant,cold,lightning,,,,,,,,,,,,,86400,PCL,0.04,,,0.01,,0.015,0.1,0.01,,PCL,,TRUE,FALSE,650,360000,,6080,2,,Howling Hunt
Lyuba,Rare,unavailable,cold,earth,,,,Icebound,,,,,,,,,,50400,ECWA,0.035,,,0.01,0.3,0.015,0.05,0.01,0.3,ECWA,,TRUE,FALSE,200,360000,,,,,Preserved In Time
Macabre,Epic,unavailable,,,,,,Spectre,,Zombie,,,,,,,,59976,FECDAp,0.04,0.01,,0.0075,0.3,0.015,0.1,0.0075,0.3,Ap,,TRUE,FALSE,250,240000,,10386,3,,Death Defying
Machina,Rare,unavailable,metal,lightning,,,,Combustion,,,,,,,,,,61200,FLMD,0.048,,,0.01,0.3,0.1,0.2,0.01,0.3,FLMD,,TRUE,FALSE,220,360000,,17200,,,Robotics
Magma,Rare,unavailable,,,,,,Lava,,Infernus,,,,,,,,72000,FECW,0.0425,,,0.01,0.3,0.1,0.2,0.01,0.3,FECW,,TRUE,FALSE,250,360000,,12700,4,,Magmatism
Magnetic,Hybrid,permanent,lightning,metal,,,,,,,,,,,,,,14400,LM,,,,0.01,,0.1,0.2,0.01,,LM,,TRUE,FALSE,1200,360000,,,,,Charisma Chasm
Magnolia,Epic,unavailable,sun,plant,,,,,,,,,,,,,,79200,PEISe,0.03,,,0.05,0.3,0.03,0.05,0.05,0.3,Se,,TRUE,FALSE,270,240000,,,,,Ancient Pink
Malachite,Rare,permanent,metal,plant,,,,,,,,,,,,,,43200,PM,0.05,,,0.01,,0.04,0.15,0.01,,PM,,TRUE,FALSE,700,360000,,,,,Smash Valley
Malefice,Rare,unavailable,,,,,,Spirit,,Scourge,,,,,,,,68400,PEC,0.03,,,0.0075,0.3,0.015,0.05,0.0075,0.3,PEC,,TRUE,FALSE,200,360000,,5800,1,,Noisy Neighbour
Manomano,Rare,unavailable,water,cold,dark,,,,,,,,,,,,,73800,CWD,0.02,,,0.01,0.3,0.015,0.1,0.01,,CWD,,TRUE,FALSE,650,360000,,,,,Riptide Rush
Mantasu,Rare,unavailable,earth,metal,air,lightning,,,,,,,,,,,,61200,ELAM,0.0415,,,0.01,0.3,0.1,0.2,0.01,0.3,ELAM,,TRUE,FALSE,160,360000,,,,,Desert Sting
Marbletail,Epic,permanent,,,,,,Lacewing,,Swallowtail,,,,,,,,182400,PFECCh,0.01,,,,0.3,0.01,0.05,,0.3,Ch,,TRUE,FALSE,450,240000,,,,,Dappled Tale
Margento,Epic,unavailable,,,,,,Lunis,,Prestige,,,,,,,,104400,PADMo,0.03,,,0.05,0.3,0.015,0.15,0.05,0.3,Mo,,TRUE,FALSE,100,240000,,,,,Magic Scales
Masque,Epic,unavailable,,,,,,Moonstruck,,Spritely,,,,,,,,115200,PFECLAAu,0.015,,,0.01,0.3,0.04,0.15,0.01,0.3,Au,,TRUE,FALSE,100,240000,,,,,Who Is Behind The Masque
Maw,Rare,unavailable,,,,,,Trick,,Ortreat,,,,,,,,72000,PFE,0.03,,,0.0075,0.3,0.015,0.05,0.0075,0.3,PFE,,TRUE,FALSE,200,360000,,6000,1,,Good Mawning
Maze,Rare,unavailable,plant,,,,,Leaf,,,,,,,,,,50400,PWI,0.04,,,0.01,0.3,0.1,0.2,0.01,0.3,PWI,,TRUE,FALSE,235,360000,,,,,Getting Lost
Meadow,Hybrid,permanent,plant,light,,,,,,,,,,,,,,32400,PI,,,,0.01,,0.1,0.2,0.01,,PI,,TRUE,FALSE,920,360000,,,,,Eliyse's Clearing
Melancholy,Epic,unavailable,plant,earth,cold,,,,,,,,,,,,,86400,PECAu,0.05,,,,,0.01,0.05,,,Au,,TRUE,FALSE,210,240000,,,,,Swamps of Sadness
Mesmer,Epic,unavailable,,,,,,Masque,,Scorn,,,,,,,,108000,PFECLAAu,0.03,,,0.05,0.3,0.01,0.15,0.05,0.3,Au,,TRUE,FALSE,100,240000,,,,,Snap Back to Reality
Mesmerus,Epic,cloneable,,,,,,,,,,,,,,,,108000,PFECLAAu,0,,,0,0.3,0,0.2,0,0.3,Au,Mesmer,TRUE,FALSE,90,240000,,,,,Under Your Spell
Mesolite,Gemstone,unavailable,,,,,,Sulfur,,Glass,,,,,,,,111600,FEMICr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,TRUE,FALSE,,240000,120960000,,,,Mineral Mire
Metal,Primary,permanent,,,,,,,,,,,,,,,,28800,M,,,,0,,0,,0,,M,,FALSE,TRUE,2000,,,,,,
Metal Rift,Primary Rift,permanent,,,,,,,,,,,,,,,rift,172800,MR,,,,0,0,0,0,0.01,0.15,MR,,TRUE,FALSE,400,360000,,,,M,Tenacious Drop
Meteor,Hybrid,permanent,air,metal,,,,,,,,,,,,,,50400,AM,,,,0.01,,0.1,0.2,0.01,,AM,,TRUE,FALSE,900,360000,,,,,Star Shower
Miasma,Hybrid,permanent,air,dark,,,,,,,,,,,,,,37800,AD,,,,0.01,,0.1,0.2,0.01,,AD,,TRUE,FALSE,1130,360000,,,,,Smog Bog
Midday,Epic,unavailable,,,,,,Sun,,Dusk,,,,,day,,,57600,CLSu,0.03,,,,,0.01,0.05,,,Su,,TRUE,FALSE,118,240000,,,,,High Noon Rune
Midnight,Epic,unavailable,dark,,,,,Moon,,,,,,,night,,,43200,ECDMo,0.01,,,,,0.01,0.05,,,Mo,,TRUE,FALSE,150,240000,,,,,The Witching Hour
Minchi,Epic,cloneable,,,,,,,,,,,,,,,,108000,EWLHi,0,,,0,0.3,0,0.15,0,0.3,Hi,Stoneshell,TRUE,FALSE,350,240000,,,,,Tough Egg to Crack
Mine,Hybrid,permanent,cold,metal,,,,,,,,,,,,,,36000,CM,,,,0.01,,0.1,0.2,0.01,,CM,,TRUE,FALSE,1600,360000,,,,,Dramorian Delve
Mirage,Rare,permanent,dark,light,,,,,,,,,,,,,,61200,ID,0.05,,,0.01,,0.04,0.15,0.01,,ID,,TRUE,FALSE,940,360000,,,,,Phantasm Chasm
Mirror,Rare,permanent,light,metal,,,,,,,,,,,,,,50400,MI,0.05,,,0.01,,0.04,0.15,0.01,,MI,,TRUE,FALSE,900,360000,,,,,Rorrim Rock
Misfortune,Epic,permanent,treasure,apocalypse,,,,,,,,,,,night,,,165600,PFCLMApTr,0.015,0.005,,0.05,,0.01,0.05,0.05,,ApTr,,TRUE,FALSE,110,240000,,3000,1,,Misadventure Time
Mistletoe,Rare,unavailable,,,,,,Tree,,Lichen,,,,,,,,28800,PEC,0.03,,,0.01,,0.1,0.1,0.01,,PEC,,TRUE,FALSE,500,360000,,,,,Thistlethumb Dig
Molten,Rare,permanent,metal,fire,,,,,,,,,,,,,,43200,FM,0.05,,,0.01,,0.04,0.1,0.01,,FM,,TRUE,FALSE,750,360000,,,,,Shi Nee's Saga
Monolith 1,Epic,permanent,monolith,monolith,,,,,,,,,,,,,,9000,PEWMh,0.2,,,0,0,0,0,,0,Mh,,TRUE,FALSE,900,240000,,,,,
Monolith 2,Epic,permanent,monolith,monolith,,,,,,,,,,,,,,9000,FEWMh,0.2,,,0,0,0,0,,0,Mh,,TRUE,FALSE,900,240000,,,,,
Monolith 3,Epic,permanent,monolith,monolith,,,,,,,,,,,,,,90000,ECWMh,0.05,,,0,0,0,0,,0,Mh,,TRUE,FALSE,600,240000,,,,,
Monolith 4,Epic,permanent,monolith,monolith,,,,,,,,,,,,,,90000,EWLMh,0.05,,,0,0,0,0,,0,Mh,,TRUE,FALSE,600,240000,,,,,
Monolith 5,Epic,permanent,monolith,monolith,,,,,,,,,,,,,,144000,EWAMh,0.01,,,0,0,0,0,,0,Mh,,TRUE,FALSE,450,240000,,,,,
Monolith 6,Epic,permanent,monolith,monolith,,,,,,,,,,,,,,86400,EWMMh,0.01,,,0,0,0,0,,0,Mh,,TRUE,FALSE,500,240000,,,,,
Monte,Epic,unavailable,moon,sun,air,light,,,,,,,,,,,,43200,AISuMo,0.02,,,0.0075,0.3,0.015,0.1,0.0075,0.3,AISuMo,,TRUE,FALSE,188,240000,,,,,Juicy Joy
Moon,Epic,permanent,cold,lightning,,,,,,,,,,,night,,,172800,CLMo,0.03,,,,,0.02,0.05,,,Mo,,TRUE,FALSE,150,240000,,,,,Lunar Lunacy
Moonstruck,Epic,unavailable,,,,,,Love,,Rose,,,,,,,,42840,PFLAMo,0.04,,,,,0.02,0.05,,,Mo,,TRUE,FALSE,130,240000,,,,,Dungeon of Distractions
Moriante,Epic,unavailable,light,,,,,Blue Moon,,,,,,,,fireflies,,72000,CLIMofireflies,0.02,,,0.05,0.3,0.01,0.05,0.05,0.3,IMo,,TRUE,FALSE,190,240000,,,,,Flip the Switch
Morphimagus,Epic,unavailable,hidden,,,,,Stella,,,,,,,,,,82800,FECDHiMo,0.04,,,0.05,0.3,0.01,0.15,0.05,0.3,HiMo,,TRUE,FALSE,210,240000,,,,,Back in the Hat
Morpho,Epic,permanent,,,,,,Gildamane,,Dittoglide,,,,,,,,54000,PFECCh,0.02,,,,0.3,,0.05,,0.3,Ch,,TRUE,FALSE,550,240000,,,,,Delightfully Disguised
Moss,Hybrid,permanent,plant,earth,,,,,,,,,,,,,,43200,PE,,,,0.01,,0.1,0.2,0.01,,PE,,TRUE,FALSE,1050,360000,,,,,Bryophyte Plight
Motley,Rare,unavailable,,,,,,,,,,,,,,,,46800,PF,0.04,0.01,0.005,0.01,,0.03,0.1,0.01,,PF,,TRUE,FALSE,940,360000,,,,,Wild Side
Mountain,Hybrid,permanent,earth,cold,,,,,,,,,,,,,,50400,EC,,,,0.01,,0.1,0.2,0.01,,EC,,TRUE,FALSE,1400,360000,,,,,Solo Summit
Mountain Sun,Rare,unavailable,earth,light,,,,,,,,,,,,,,79200,EI,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,EI,,TRUE,FALSE,500,360000,,,,,Chiseled Cliffs
Mud,Hybrid,permanent,earth,water,,,,,,,,,,,,,,21600,EW,,,,0.01,,0.1,0.2,0.01,,EW,,TRUE,FALSE,1100,360000,,,,,Luck in the Muck
Murano,Rare,unavailable,,,,,,Glass,,Amaryllis,,,,,,,,72000,PEAI,0.03,,,0.01,0.3,0.015,0.05,0.01,0.3,PEAI,,TRUE,FALSE,200,360000,,,,,Stainless Stained Glass
Muse,Epic,unavailable,,,,,,Hydra,,Daydream,,,,,,,,129600,PFECWLAMIDDrOl,0.06,0.03,,,,,0.1,,,DrOl,,TRUE,FALSE,130,240000,,,,,Writer's Block Bluff
Mushry,Rare,unavailable,plant,water,light,dark,,,,,,,,,,,,82800,PWID,0.041,,,0.01,0.3,0.1,0.2,0.01,0.3,PWID,,TRUE,FALSE,200,360000,,,,,A Fun-guy
Mylio,Rare,unavailable,water,dark,light,,,,,,,,,,,,,79200,WID,0.03,,,0.01,0.3,0.04,0.15,0.01,0.3,WID,,TRUE,FALSE,299,360000,,,,,Sea You Later
Nacre,Rare,unavailable,water,cold,dark,light,,,,,,,,,,,,43200,CWID,0.025,,,0.01,0.3,0.05,0.1,0.01,0.3,CWID,,TRUE,FALSE,75,360000,,,,,Pearlescent
Narcis,Epic,unavailable,dark,metal,,,,Ouroboros,,,,,,,,,,100800,WLMDAp,0.045,,,0.01,0.3,0.1,0.2,0.01,0.3,MDAp,,TRUE,FALSE,150,240000,,7000,1,,Daffadowndilly's Cousin
Nature,Rare,unavailable,cold,air,,,,Reminiscence,,,,,,,,,,82800,CWA,0.022,,,0.01,0.3,0.1,0.2,0.01,0.3,CWA,,TRUE,FALSE,120,360000,,,,,Ice Change
Nebula,Galaxy,permanent,,,,,,,,,,,,,,,social,64800,PCWAGa,,,,0,0,0.1,0.2,0,0,Ga,,TRUE,FALSE,400,240000,,,,,Murphy's Ode
Nectar,Rare,permanent,light,water,,,,,,,,,,,,,,18000,WI,0.05,,,0.01,,0.04,0.15,0.01,,WI,,TRUE,FALSE,700,360000,,,,,Tower of Tantalia
Neoteric,Rare,unavailable,,,,,,Luminous,,Spark,,,,,,,,111600,PLID,0.12,0.07,,0.005,,0.01,0.1,0.005,,PLID,,TRUE,FALSE,320,360000,,,,,New Year Flight
Nesting,Rare,unavailable,fire,plant,earth,cold,,,,,,,,,,,,86400,PFEC,0.02,,,0.01,,0.015,0.1,0.01,,PFEC,,TRUE,FALSE,600,360000,,6080,2,,Infinite Regression
Nether,Rare,unavailable,fire,metal,earth,,,,,,,,,,,,,43200,FEM,0.04,,,0.01,0.3,0.015,0.1,0.01,0.3,FEM,,TRUE,FALSE,600,360000,,2250,1,,Pancake Plunder
Neyvee,Rare,unavailable,water,earth,,,,Woolen,,,,,,,,,,54000,PFECW,0.035,,,0.01,0.3,0.015,0.05,0.01,0.3,PFECW,,TRUE,FALSE,225,360000,,,,,Swimming in the Ocean
Niamh,Rare,unavailable,earth,air,,,,Meadow,,,,,,,,,,108000,PEAI,0.015,,,0.05,0.3,0.01,0.15,0.05,0.3,PEAI,,TRUE,FALSE,85,360000,,,,,Whiff of Spring
Nibwhip,Epic,cloneable,,,,,,,,,,,,,,,,43200,PFCOr,0,,,0,0.3,0,0.3,0,0.3,PFCOr,Gift,TRUE,FALSE,145,240000,,,,,An Unforgettable Mug
Nightbloom,Epic,permanent,plant,dark,moon,,,,,,,,,,,,,97200,PCLDMo,0.03,0.015,,0.05,0.3,0.01,0.05,,0.3,PDMo,,TRUE,FALSE,150,240000,,5500,2,,Night Flight
Nightmare,Epic,unavailable,,,,,,Howl,,Abyss,,,,,,,,131313.13,WADDr,0.04,,,,,0.02,0.05,,,Dr,,TRUE,FALSE,130,240000,,4800,2,,Gelndun Gutter
Nightshade,Hybrid,permanent,dark,plant,,,,,,,,,,,,,,48600,PD,,,,0.01,,0.1,0.2,0.01,,PD,,TRUE,FALSE,900,360000,,,,,Belladonna's Bastion
Nimbus,Rare,permanent,fire,water,rift,,,,,,,,light,,,,rift,0,FWR,0.02,,,0,0,0,0,0.01,0.15,FWR,,TRUE,FALSE,350,360000,,,,I,Nimble Narrows
Nomnoter,Rare,unavailable,,,,,,Love,,Delight,,,,,,,,68400,PFCL,0.035,,,0.01,0.3,0.1,0.2,0.01,0.3,PFCL,,TRUE,FALSE,130,360000,,,,,Lovely Cuisine
Nosferatu,Rare,unavailable,earth,cold,fire,,,,,,,,,,night,,,46800,FEC,0.02,,,0.075,,0.015,0.1,0.075,,FEC,,TRUE,FALSE,750,360000,,2275,1,,Whitbee's Valley
Nova,Galaxy,permanent,,,,,,,,,,,,,,,social,64800,FLMDGa,,,,0,0,0.075,0.2,0,0,Ga,,TRUE,FALSE,120,240000,,,,,Divine Starshine
Nox,Rare,unavailable,rift,,,,,Voltaic,,Antumbra,,,,,,,rift,172800,IDR,0.03,,,0,0,0,0,0.0025,0.1,IDR,,TRUE,FALSE,80,360000,,8760,2,D,From the Great Beyond
Nubis,Epic,unavailable,earth,air,,,,Sun,,,,,,,,,,72000,ECLASu,0.031,,,0.05,0.3,0.015,0.15,0.05,0.3,EASu,,TRUE,FALSE,210,240000,,,,,Solar Power
Oaris,Rare,unavailable,,,,,,Meadow,,Limulimu,,,,,,,,54000,PWI,0.03,,,0.05,0.3,0.05,0.1,0.05,0.3,PWI,,TRUE,FALSE,290,360000,,,,,Hearing Intensifies
Oasian,Rare,unavailable,,,,,,Honuhonu,,Mylio,,,,,,,,57600,PWID,0.0333,,,0.01,0.3,0.1,0.2,0.01,0.3,PWID,,TRUE,FALSE,185,360000,,,,,Oasis To-Go
Obsidian,Hybrid,permanent,earth,fire,,,,,,,,,,,,,,28800,FE,,,,0.01,,0.1,0.2,0.01,,FE,,TRUE,FALSE,1100,360000,,,,,The Mark of Wrothmoore
Ocular,Epic,unavailable,,,,,,Cyclops,,Barbarous,,,,,,,,82800,FLMOl,0.02,,,0.0075,0.3,0.015,0.05,0.0075,0.3,FLMOl,,TRUE,FALSE,110,240000,,7800,2,,Insightful
Okenite,Gemstone,unavailable,,,,,,Snow,,Pollen,,,,,,,,111600,PCACr,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Cr,,TRUE,FALSE,,240000,120960000,,,,Noxious Nuzzles
Omen,Epic,unavailable,,,,,,Moon,,Apocalypse,,,,,,,,97200,PCLMApMo,0.03,,,,,0.02,0.05,,,ApMo,,TRUE,FALSE,125,240000,,,,,Trial DCLVI
Oni,Rare,unavailable,fire,earth,cold,,,,,,,,,,,,,43200,FEC,0.04,,,0.01,,0.015,0.1,0.01,,FEC,,TRUE,FALSE,650,360000,,2000,1,,Den Development
Ooze,Hybrid,permanent,dark,water,,,,,,,,,,,,,,66600,WD,,,,0.01,,0.1,0.2,0.01,,WD,,TRUE,FALSE,880,360000,,,,,Ancient Madness
Opal,Gemstone,unavailable,,,,,,Lava,,Mud,,,,,,,,111600,FEWGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Opalescent Operation
Opulent,Epic,unavailable,plant,fire,water,lightning,,,,,,,,,,,,144000,PFWLTr,0.01,,,0.05,,0.01,0.05,0.05,,Tr,,TRUE,FALSE,165,240000,,,,,Affluent Adventure
Oracle,Epic,unavailable,earth,lightning,light,,,,,,,,,,,,,99000,ELISf,0.015,,,0.01,0.25,0.015,0.1,0.01,,Sf,,TRUE,FALSE,250,240000,,,,,Passage of Prophecy
Orchid,Rare,permanent,plant,air,,,,,,,,,,,,,,32400,PA,0.05,,,0.01,,0.03,0.15,0.01,,PA,,TRUE,FALSE,720,360000,,,,,Koo Hill Trek
Orlena,Rare,unavailable,fire,,,,,Rosegold,,,,,,,,,,72000,PFAM,0.0425,,,0.01,0.3,0.1,0.2,0.01,0.3,PFAM,,TRUE,FALSE,125,360000,,,,,Royal Presence
Ornamental,Epic,unavailable,fire,,,,,Reindeer,,,,,,,,,,64800,PFCOr,0.06,,,,0.3,0.01,0.05,,0.3,Or,,TRUE,FALSE,210,240000,,,,,Sleigh Ride
Ortreat,Rare,unavailable,plant,fire,earth,,,,,,,,,,,,,54000,PFE,0.04,,,0.01,,0.015,0.1,0.01,,PFE,,TRUE,FALSE,667,360000,,6080,2,,Confabulated Confectionary
Osteryx,Rare,unavailable,air,fire,earth,,,,,,,,,,,,,50400,FEA,0.02,,,0.01,0.3,0.04,0.15,0.01,0.3,FEA,,TRUE,FALSE,600,360000,,,,,The Boneyard
Ouroboros,Epic,permanent,water,,,,,Magnetic,,,,,,,,,,95040,WLMAp,0.03,,,,,0.02,0.05,,,Ap,,TRUE,FALSE,150,240000,,,,,Infinite Loop
Outrider,Rare,unavailable,light,air,metal,,,,,,,,,,,,,81000,AMI,0.0175,,,0.0075,0.3,0.015,0.1,0.0075,0.3,AMI,,TRUE,FALSE,460,360000,,,,,Surveil the Vale
Ovalith,Gemstone,unavailable,,,,,,Bloom,,Panlong,,,,,,,,108000,PFECWLAGe,0.01,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Shell Scheme
Palladium,Hybrid,permanent,light,metal,,,,,,,,,,,,,,19800,MI,,,,0.01,,0.1,0.2,0.01,,MI,,TRUE,FALSE,1070,360000,,,,,Noble Peril
Panlong,Rare,unavailable,water,air,earth,fire,,,,,,,,,,,,129600,FEWA,0.03,,,0.005,,0.01,0.05,0.005,,FEWA,,TRUE,FALSE,383,360000,,,,,Year of the Dragon
Paper,Rare,unavailable,fire,earth,plant,cold,,,,,,,,,,,,43200,PFEC,0.03,,,0.01,,0.02,0.05,0.01,,PFEC,,TRUE,FALSE,336,360000,,,,,Backflip Trip
Party,Epic,unavailable,,,,,,,,,,,,4,,,,187200,PFECWLAMIDRb,0.03,0.01,,0.05,,0.03,0.05,0.05,,Rb,,TRUE,FALSE,79,240000,,,,,Celebratory Expedition
Pearl,Gemstone,unavailable,,,,,,Snow,,Seaweed,,,,,,,,108000,PCWAGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Shimmering Slough
Pearlescent,Epic,permanent,rift,,,,,Prism,light,Starwing,dark,,,,,,rift,0,PFECRCh,0.005,,,0,0,0,0,0.0025,0.1,RCh,,TRUE,FALSE,105,240000,,,,I,Pretty Power
Peoni,Rare,unavailable,,,,,,Sakura,,Bloom,,,,,,,,79200,PECL,0.04,,,0.01,0.3,0.015,0.05,0.01,0.3,PECL,,TRUE,FALSE,200,360000,,,,,Heavy Petal
Pepper,Rare,permanent,fire,plant,,,,,,,,,,,,,,21600,PF,0.05,,,0.01,,0.04,0.15,0.01,,PF,,TRUE,FALSE,600,360000,,,,,Cheelei's Cove
Peridot,Gemstone,unavailable,,,,,,Crystal,,Cactus,,,,,,,,111600,PELGe,0.03,,,0.05,0.07,0.03,0.06,0.05,0.07,Ge,,TRUE,FALSE,,240000,120960000,,,,Olivine's Ordeal
Permafrost,Rare,permanent,earth,cold,,,,,,,,,,,,,,64800,EC,0.05,,,0.01,0.3,0.04,0.15,0.01,0.3,EC,,TRUE,FALSE,600,360000,,,,,Freezey-Cold Flight
Petunia,Epic,unavailable,fire,earth,cold,lightning,,,,,,,,,,,,57600,FECLAu,0.03,,,0.05,0.3,0.01,0.05,0.05,0.3,Au,,TRUE,FALSE,335,240000,,,,,Anger Wrangler
Phantom,Hybrid,permanent,cold,light,,,,,,,,,,,,,,30600,CI,,,,0.01,,0.1,0.2,0.01,,CI,,TRUE,FALSE,965,360000,,,,,Fear & Figments
Pharaoh,Epic,unavailable,,,,,,Sun,,Crypt,,,,,,,,108000,CLDSu,0.09,0.03,,,,0.01,0.05,,,Su,,TRUE,FALSE,125,240000,,1800,1,,Tomb of Kings
Pisceian,Epic,unavailable,water,,,,,Omen,,,,,,,,,,86400,PCWLM,0.035,,,0.05,0.3,0.04,0.15,0.05,0.3,WZo,,TRUE,FALSE,134,240000,,,,,Centrifuge
Pixie,Epic,cloneable,,,,,,,,,,,,,,,,64800,PEWMh,0,,,0,0.3,0,0.15,0,0.3,Mh,Monolith 6,TRUE,FALSE,300,240000,,,,,Spring bringer
Plains,Rare,permanent,earth,light,,,,,,,,,,,,,,43200,EI,0.05,,,0.01,,0.04,0.1,0.01,,EI,,TRUE,FALSE,1015,360000,,,,,Gargantuan Grasslands
