Air,Primary,A,Fire+Water,2:00:00,100% (33%),0% (?%),0% (?%),0% (?%),
Dazzle,Epic,LDSuMo,moon+sun+lightning+dark,17:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),A Star is Bred
Razzle,Epic,ADSuMo,moon+sun+air+dark,14:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Hysterical Hype
Lunis,Galaxy,GaMo,Moon+galaxy,24:00:00,2%,5% (20%),0% (0%),0% (0%),A Lunar Tick
Stella,Epic,Mo,Midnight+Starwing,15:00:00,3%,1% (5%),5% (30%),5% (30%),The Sky's Not the Limit
Darkmatter,Epic,RbMo,Aurora+Nightbloom+[night],25:00:00,2%,1% (5%),5% (30%),5% (30%),You Matter
Moriante,Epic,IMo,Blue Moon+light+[weather:fireflies],20:00:00,2%,1% (5%),5% (30%),5% (30%),Flip the Switch
Prestige,Epic,PADMo,Psyche+Stella,30:00:00,3.75%,10% (20%),1% (30%),1% (30%),Plot Twist
Wilderness,Epic,Mo,Nightbloom+Seraph,26:00:00,4.5%,1.5% (15%),5% (30%),5% (30%),Expert of the Wild
Lightmare,Epic,DrMo,Moon+Dream,24:00:00,3.5%,1% (15%),5% (30%),5% (30%),Dreamcatcher
Morphimagus,Epic,HiMo,Stella+hidden,23:00:00,4%,1% (15%),5% (30%),5% (30%),Back in the Hat
Puffles,Epic,CAIMo,Fluffles+Nightbloom,18:00:00,4%,1% (15%),5% (30%),5% (30%),The Shear Size
Prestina,Epic,AIDMo,Prestige+Outrider,28:00:00,4.25%,1% (15%),5% (30%),5% (30%),Partners in Magic
Margento,Epic,Mo,Lunis+Prestige,29:00:00,3%,1.5% (15%),5% (30%),5% (30%),Magic Scales
Bronze Olympus,Epic,Ol,earth+lightning+air,35:00:00,5%,4% (5%),?% (?%),?% (?%),Olympian Struggle
Gold Olympus,Epic,Ol,earth+lightning+air,35:00:00,1.5%,1% (5%),?% (?%),?% (?%),Herculean Effort
Silver Olympus,Epic,Ol,earth+lightning+air,35:00:00,3%,2% (5%),?% (?%),?% (?%),Silvery Peaks
Cyclops,Epic,Ol,lightning+water+metal,33:00:00,3%,2% (5%),?% (?%),?% (?%),Sights Unseen
Snowy Bronze,Epic,Ol,air+cold+fire,32:00:00,5%,4% (5%),?% (?%),?% (?%),Chione Chasm
Snowy Gold,Epic,Ol,air+cold+fire,32:00:00,1.5%,1% (5%),?% (?%),?% (?%),Chione Peaks
Snowy Silver,Epic,Ol,air+cold+fire,32:00:00,3%,2% (5%),?% (?%),?% (?%),Chione Climb
Victory,Epic,Ol,air+cold+lightning,36:00:00,3%,1% (5%),?% (?%),?% (?%),Triumph Turlough
Hydra,Epic,Ol,Quake+Current,34:00:00,3%,2% (5%),?% (?%),?% (?%),Leviathan Caverns
Elysium,Epic,DrOl,Gold Olympus+Dream,48:00:00,6% (3%),2% (5%),?% (?%),?% (?%),West Wind Warning
Muse,Epic,DrOl,Hydra+Daydream,36:00:00,6% (3%),?% (10%),?% (?%),?% (?%),Writer's Block Bluff
Fates,Epic,Ol,plant+fire+water,20:00:00,1.5%,1% (5%),5% (30%),5% (30%),Triad Trench
Herald,Epic,Ol,lightning+light+cold,34:00:00,3%,2% (5%),5% (30%),5% (30%),Extre Extre Endeavor
Squall,Epic,Ol,water+plant+air,34:00:00,3%,2% (5%),5% (30%),5% (30%),Anchored Adventure
Stygian,Epic,Ol,dark+fire+metal,34:00:00,3%,2% (5%),5% (30%),5% (30%),Runic River
Thunderbolt,Epic,Ol,earth+lightning+air,34:00:00,3%,2% (5%),5% (30%),5% (30%),Cloud Striker
Valor,Epic,Ol,plant+metal+air,34:00:00,3%,1% (5%),5% (30%),5% (30%),Brave New Vale
Trimera,Epic,Ol,fire+plant+air,19:26:40,1.5%,1% (5%),5% (30%),5% (30%),Well of Madness
Cerberus,Epic,Ol,Hydra+Obsidian,33:00:00,3%,2% (5%),5% (30%),5% (30%),Hall of Halitosis
Dawnbringer,Epic,Ol,fire+dark+air,35:00:00,1.5%,2% (5%),5% (30%),5% (30%),Sun Salute
Spritely,Epic,AuOl,aura+olympus,35:00:00,7% (4%),1% (10%),1% (?%),5% (?%),Painted Hills
Ocular,Epic,FLMOl,Cyclops+Barbarous,23:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Insightful
Sprout,Epic,Se,light+water+earth,36:00:00,3%,2% (5%),?% (?%),?% (?%),Budding Bayou
Leaf,Epic,Se,plant+water+light,37:00:00,3%,2% (5%),?% (?%),?% (?%),Photosynthetic Folly
Berry,Epic,Se,fire+water+light,16:00:00,3%,2% (5%),?% (?%),?% (?%),Fearsome Fruits
Gourd,Rare,PFED,Pepper+Root,30:51:56,4%,3% (10%),1% (?%),1% (?%),Pumpkin Patch
Seed,Epic,Se,cold+water+light,18:00:00,3%,1% (5%),?% (?%),?% (?%),Forage in the Great Forest
Feast,Rare,PEI,plant+earth+light,24:00:00,5%,2% (10%),1% (?%),1% (?%),The Fattening
Harvest,Rare,PEW,plant+earth+water,18:00:00,5%,2% (10%),1% (?%),1% (?%),Fruitful Feat
Harvest Moon,Epic,PEWMo,Harvest+Moon,18:00:00,5%,1% (5%),5% (?%),5% (?%),Marigold Moon
Bogberry,Epic,PWISe,Bog+Berry,16:00:00,3%,2% (10%),1% (?%),1% (?%),Six-Fingered Lake
Bounteous,Rare,PFE,earth+plant+fire,14:00:00,5%,2% (10%),1% (?%),1% (?%),Bounding Around
Teozinte,Rare,PEC,earth+plant+cold,22:00:00,5%,2% (10%),1% (?%),1% (?%),Corn Maze
Plumpkin,Rare,PFE,plant+fire+earth,19:00:00,5%,2% (10%),1% (?%),1% (?%),Pumpermelon Imposter
Cumberpatch,Epic,Hi,Cactus+monolith,28:00:00,2%,0.5% (10%),5% (?%),2% (?%),Mammu's Bargain
Bloatato,Epic,HiSe,,16:06:40,0%,0% (30%),0% (30%),0% (30%),Starchy Goodness
Curlyleaf,Epic,HiSe,,17:21:40,0%,0% (30%),0% (30%),0% (30%),Go Green Every Day
Karroot,Epic,HiSe,,14:35:00,0%,0% (30%),0% (30%),0% (30%),I Am Root!
Vidalia,Epic,HiSe,,20:08:20,0%,0% (30%),0% (30%),0% (30%),Tears of Joy
Aubergine,Epic,HiSe,,20:50:00,0%,0% (30%),0% (30%),0% (30%),Purple Royale
Sow,Rare,PECD,Teozinte+Gourd,18:00:00,4%,10% (20%),1% (30%),1% (30%),Crop Security
Huddle,Rare,PEI,Harvest+Karroot,22:00:00,3.75%,10% (20%),1% (30%),1% (30%),Golden-brown Feathers
Squish,Rare,PEI,Bogberry+Feast,17:00:00,3.5%,10% (20%),1% (30%),1% (30%),Squash
Bushwhack,Rare,PFED,Bramble+earth+fire,27:00:00,2.75%,10% (20%),1% (30%),1% (30%),Whacky Mazes
Fomhar,Epic,Se,Seasonal+Autumn,23:00:00,3.25%,10% (20%),1% (30%),1% (30%),Pillar of Autumn
Maze,Rare,PWI,Leaf+plant,14:00:00,4%,10% (20%),1% (30%),1% (30%),Getting Lost
Keyper,Rare,PMD,Razortail+Etch,18:00:00,3.5%,1% (15%),5% (30%),5% (30%),Master Key
Standstone,Rare,ECLM,Gargoyle+Bonescale,28:00:00,2.6%,1% (15%),5% (30%),5% (30%),Staying Vigilant
Diggy,Epic,Hi,Bloatato+Gourd,30:00:00,2.25%,1% (15%),5% (30%),5% (30%),Diggy Diggy Hole
Dazzling,Epic,Or,ornamental+ornamental,55:00:00,0.5%,0.5% (5%),0.25% (5%),0.5% (?%),Fulgent Foray
Lace,Epic,Or,Coal+plant,31:00:00,3%,1% (5%),?% (?%),?% (?%),Doily Dash
Ornamental,Epic,Or,Reindeer+fire,18:00:00,6%,1% (5%),?% (30%),?% (30%),Sleigh Ride
Flicker,Epic,Or,Gift+earth,25:00:00,4%,1% (5%),5% (?%),5% (?%),Glimmer Grotto
Verglace,Epic,Or,Mistletoe+cold,25:00:00,5%,1% (5%),?% (?%),?% (?%),Lord of the Fjords
Ribbon,Epic,Or,Regift+fire,19:00:00,4%,1% (5%),5% (30%),5% (30%),Streaming & Gleaming
Tinsel,Epic,Or,Holly+cold,27:00:00,3%,1% (5%),5% (30%),5% (30%),Into the Bushes
Twinkle,Epic,Or,Winter+air,55:00:00,0.5%,1% (5%),5% (25%),5% (25%),Cave of Caroling
Starshine,Epic,Or,Twinkle+Dazzling,19:00:00,2%,1.5% (10%),1% (?%),1% (?%),Shine On
Avarice,Epic,FECOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Enrichment En Masse
Burglehoo,Epic,FECOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Not a Grump Nor a Heel
Gulletail,Epic,FECOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Quite the Appetite
Libretto,Epic,PFCOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Vocal Victory
Nibwhip,Epic,PFCOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),An Unforgettable Mug
Sugarplum,Epic,PFCOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Fancy Feet
Lokilure,Epic,FECOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Tricksy Trickster
Saccharine,Epic,PFCOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),No Salt Here
Jadice,Epic,FECOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Fiercely Frosted
Trepak,Epic,PFCOr,,12:00:00,0%,0% (30%),0% (30%),0% (30%),Foot Drill
Reminiscence,Epic,CWOr,Icy Torrent+ornamental,30:00:00,3%,1.5% (10%),1% (30%),1% (30%),Memories of Winter
Venture,Epic,FAOr,Blazing Gale+ornamental,30:00:00,3%,1.5% (10%),1% (30%),1% (30%),Far-off Travels
Harmony,Epic,PMOr,Iron Blossom+ornamental,30:00:00,3%,1.5% (10%),1% (30%),1% (30%),Down With Dissonance
Yule,Epic,EIOr,Mountain Sun+ornamental,30:00:00,3%,1.5% (10%),1% (30%),1% (30%),Tides of Winter Tidings
Spellmason,Epic,LDOr,Hidden Bolt+ornamental,30:00:00,3%,1.5% (10%),1% (30%),1% (30%),The Living Stone
Snowball,Epic,COr,Snowpocalypse+Shiver,22:00:00,1.5%,4% (15%),1% (30%),1% (30%),Hiding Like Snowbody's Business
Yanghis,Epic,Or,Starshine+Flicker,23:00:00,2%,4% (15%),1% (30%),1% (30%),Igniting the Fireworks
Angler,Epic,CAOr,Venture+Gulletail,24:00:00,1.5%,4% (1.5%),1% (30%),1% (30%),Something Catchy
Yeti,Epic,ECOr,Kringle+Krampus,26:00:00,1.5%,4% (15%),1% (30%),1% (30%),They Like To Throw Things
Glitz,Epic,Or,Yanghis+Jadice,24:00:00,4.1%,1% (15%),5% (30%),5% (30%),Sparkle Startle
Zero,Epic,ApOr,Permafrost+Snowpocalypse,28:00:00,3.9%,1% (15%),5% (30%),5% (30%),Below Zero
Zumi,Epic,Or,Snowball+Ketu,19:00:00,4.25%,1% (15%),5% (30%),5% (30%),Best Friends Forever
Greenge,Epic,FECIOr,Burglehoo+Yule,20:00:00,2%,1% (15%),5% (30%),5% (30%),Grumpy Wumpy
Ovalith,Gemstone,Ge,Bloom+Panlong,30:00:00,1%,3% (6%),5% (7%),5% (7%),Shell Scheme
Hakahaka,Rare,PFEI,fire+light+earth+plant,19:00:00,2%,1.5% (10%),1% (30%),1% (?%),Resolute Ritual
Honuhonu,Rare,PW,Sunscorch+Tidepool,18:00:00,2%,1.5% (10%),1% (30%),1% (?%),Seaside Shellslide
Humuhumu,Rare,WI,Party+Lagoon,16:00:00,2%,1.5% (10%),1% (30%),1% (?%),Reef Research
Limulimu,Rare,PWI,plant+water+light,14:00:00,5%,4% (15%),1% (30%),1% (30%),Maritime Mission
Manomano,Rare,CWD,water+cold+dark,20:30:00,2%,1.5% (10%),1% (30%),1% (?%),Riptide Rush
Monte,Epic,AISuMo,moon+sun+air+light,12:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Juicy Joy
Sailback,Epic,FWSuMo,moon+sun+water+fire,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Aquatic Anathema
Toco,Epic,PASuMo,moon+sun+air+plant,8:00:00,2%,1.5% (10%),0.75% (30%),0.75% (30%),Big-billed Beats
Vibe,Epic,PLSuMo,moon+sun+plant+lightning,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Scene Maker
Elegant,Epic,PISuMo,moon+sun+plant+light,12:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Grand Entrance
Ruckus,Epic,FISuMo,moon+sun+fire+light,10:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Bring It On!
Dazzle,Epic,LDSuMo,moon+sun+lightning+dark,17:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),A Star is Bred
Razzle,Epic,ADSuMo,moon+sun+air+dark,14:00:00,2%,1.5% (5%),0.75% (30%),0.75% (30%),Hysterical Hype
Grove,Rare,PW,Honuhonu+Frond,17:00:00,3%,1% (5%),1% (30%),1% (30%),Slow Show
Hanno,Rare,PW,plant+water,20:00:00,3%,5% (10%),5% (30%),5% (30%),The Life of the Party
Oaris,Rare,PWI,Meadow+Limulimu,15:00:00,3%,5% (10%),5% (30%),5% (30%),Hearing Intensifies
Delicia,Epic,ADr,Glimmerwing+dream,30:00:00,2%,1% (5%),1% (30%),1% (30%),D for Delici(ous)
Exandrew,Rare,FEA,earth+fire+air,24:00:00,3%,5% (10%),5% (30%),5% (30%),Roll For Initiative
Tebori,Epic,IDr,Hakahaka+dream,28:00:00,2.5%,1% (5%),1% (30%),1% (30%),Traditional Patterns
Alffa,Epic,ADr,dream+air,32:00:00,2%,1% (5%),1% (30%),1% (30%),Alpha in Disguise
Mylio,Rare,WID,water+dark+light,22:00:00,3%,4% (15%),1% (30%),1% (30%),Sea You Later
Ahoy,Rare,FEWA,air+water+earth+fire,17:00:00,4.5%,10% (20%),1% (30%),1% (30%),Getaway Stick
Ikatako,Rare,EWLD,Ooze+Tidal,16:00:00,4.5%,10% (20%),1% (30%),1% (30%),Tentacle Tickle
Zilla,Rare,FCWD,Kaiju+cold+water,18:00:00,4.5%,10% (20%),1% (30%),1% (30%),King Of The Sea
Gawk,Epic,ATr,Regal+Gold,22:00:00,4%,1.5% (15%),5% (30%),5% (30%),Bird of Paradise
Lazuli,Epic,WTr,Scarab+Bronze,24:00:00,4%,1.5% (15%),5% (30%),5% (30%),Dolphins Of The Sky
Trove,Epic,Tr,Misfortune+Electrum,26:00:00,4%,1.5% (15%),5% (30%),5% (30%),Gold Detector
Alure,Epic,WTr,Djinni+Silver,28:00:00,4%,1.5% (15%),5% (30%),5% (30%),Song Of The Siren
Enfis,Epic,Rb,[4 elements],29:00:00,3% (1%),3% (5%),5% (30%),5% (30%),Slippery Companion
Yarr,Epic,WTr,Loot+Platinum,30:00:00,3.75%,1.5% (15%),5% (30%),5% (30%),Sail The High Seas
Spinky,Rare,CW,Sailback+Aquacorn,15:00:00,3%,10% (20%),1% (30%),1% (30%),Rolling in the Waves
Valeodon,Rare,FCWD,Kaiju+Zilla,18:00:00,3.1%,10% (20%),1% (30%),1% (30%),Serpent of the Sea
Euryale,Rare,WID,Mylio+Ikatako,24:00:00,4%,1% (15%),5% (30%),5% (30%),Rock the Boat
Corsair,Epic,WTr,Yarr+Djinni,31:00:00,4.15%,10% (20%),1% (30%),1% (30%),Seeking Thrills
Curse,Epic,WTr,Misfortune+Alure,32:00:00,4.25%,1% (15%),5% (30%),5% (30%),Malediction
Crawler,Rare,CWD,Manomano+water+dark,14:00:00,4.75%,10% (20%),1% (30%),1% (30%),Snap Back
Kann,Epic,PWSu,Sun+Hanno,36:00:00,4.5%,1% (15%),5% (30%),5% (30%),Slither Hither
Oasian,Rare,PWID,Honuhonu+Mylio,16:00:00,3.33%,10% (20%),1% (30%),1% (30%),Oasis To-Go
Flower,Hybrid,PF,fire+plant,1:00:00,*%,10% (20%),1% (?%),1% (?%),Floral Quarrel
Moss,Hybrid,PE,plant+earth,12:00:00,*%,10% (20%),1% (?%),1% (?%),Bryophyte Plight
Plant,Primary,P,,0:00:05,$%,0% (?%),0% (?%),0% (?%),
Poison,Hybrid,PF,plant+fire,0:30:00,*%,10% (20%),1% (?%),1% (?%),Toxic Trouble
Seaweed,Hybrid,PW,plant+water,5:00:00,*%,10% (20%),1% (?%),1% (?%),Nori Cove
Swamp,Hybrid,PW,plant+water,9:00:00,*%,10% (20%),1% (?%),1% (?%),Madcap Muskeg
Tree,Hybrid,PE,plant+earth,14:00:00,*%,10% (20%),1% (?%),1% (?%),Rootmoot
Willow,Hybrid,PA,plant+air,8:00:00,*%,10% (20%),1% (?%),1% (?%),Weeping Waterfall
Cactus,Hybrid,PL,plant+lightning,0:30:00,*%,10% (20%),1% (?%),1% (?%),Glochid Grounds
Lichen,Hybrid,PC,plant+cold,6:00:00,*%,10% (20%),1% (?%),1% (?%),Algae Analogy
Evergreen,Hybrid,PC,plant+cold,10:00:00,*%,10% (20%),1% (?%),1% (?%),Neverblue Woods
Pollen,Hybrid,PA,plant+air,7:00:00,*%,10% (20%),1% (?%),1% (?%),Fields of Achoo
Malachite,Rare,PM,metal+plant,12:00:00,5%,4% (15%),1% (?%),1% (?%),Smash Valley
Ironwood,Rare,PM,plant+metal,12:00:00,5%,4% (15%),1% (?%),1% (?%),Tessa's Trek
Ash,Hybrid,PL,plant+lightning,6:00:00,*%,10% (20%),1% (?%),1% (?%),Phoenix Edict
Pepper,Rare,PF,fire+plant,6:00:00,5%,4% (15%),1% (?%),1% (?%),Cheelei's Cove
Forest,Rare,PE,plant+earth,4:00:00,5%,4% (15%),1% (?%),1% (?%),Copse Consternation
Luminous,Hybrid,PI,light+plant,13:00:00,*%,10% (20%),1% (?%),1% (?%),Glowing Gulch
Meadow,Hybrid,PI,plant+light,9:00:00,*%,10% (20%),1% (?%),1% (?%),Eliyse's Clearing
Fungus,Hybrid,PD,plant+dark,13:00:00,*%,10% (20%),1% (?%),1% (?%),Blight Blockade
Nightshade,Hybrid,PD,dark+plant,13:30:00,*%,10% (20%),1% (?%),1% (?%),Belladonna's Bastion
Orchid,Rare,PA,plant+air,9:00:00,5%,3% (15%),1% (?%),1% (?%),Koo Hill Trek
Thorn,Rare,PM,metal+plant,7:00:00,5%,4% (10%),1% (?%),1% (?%),Spiky Spire Brier
Bramble,Rare,PD,dark+plant,18:00:00,5%,2% (10%),1% (?%),1% (?%),Razor Ramble
Ivy,Rare,PL,lightning+plant,14:00:00,5%,4% (15%),1% (?%),1% (?%),Hall of Hedera
Nightbloom,Epic,PDMo,plant+dark+moon,27:00:00,3% (1.5%),1% (5%),5% (30%),?% (30%),Night Flight
Thistle,Rare,PL,plant+lightning,3:00:00,5%,?% (10%),?% (30%),?% (30%),Whistling Woods
Conifer,Rare,PC,cold+plant,18:00:00,5%,4% (10%),1% (30%),1% (30%),Brow Mountain
Frostflower,Rare,PC,plant+cold,10:00:00,5%,4% (15%),1% (30%),1% (30%),Just Right Gauntlet
Plant Rift,Primary Rift,PR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Rift Innovations
Spore,Rare,PMR,plant+metal+rift+[plant trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Field of Shrooms
Snapper,Rare,PD,plant+dark,15:00:00,5%,4% (15%),1% (?%),1% (?%),Slow & Steady
Viridian,Rare,PAR,Dodo+Malachite+rift+[dodo fire trait]+[malachite light trait],0:00:00,1%,0% (0%),0% (0%),1% (15%),Ardent Valley
Dandelion,Rare,PA,air+plant,7:30:00,5%,4% (15%),1% (?%),1% (?%),Breeze Floating
Tumblethorn,Rare,PER,plant+earth+rift+[earth trait],0:00:00,2%,0% (0%),0% (0%),1% (15%),Tumbling Along
Tidepool,Rare,PW,water+plant,9:00:00,5%,4% (15%),1% (30%),1% (30%),Turning the Tides
Smoulderbrush,Rare,PF,plant+fire,8:00:00,4%,4% (15%),1% (30%),1% (30%),Aroma Therapy
Snootroot,Rare,PE,earth+plant,4:30:00,5%,4% (15%),1% (30%),1% (30%),Flaunting Flair
Frond,Rare,PW,plant+water,14:00:00,5%,10% (20%),1% (30%),1% (30%),Righteous Relaxation
Daylily,Rare,PFA,air+fire+plant,16:00:00,5%,3.5% (10%),1% (30%),1% (30%),Daily Lily
Poshwing,Rare,PI,plant+light,10:00:00,2%,4% (15%),1% (30%),1% (30%),Posh and Glamorous
Etch,Rare,PD,dark+plant,12:00:00,5%,10% (20%),1% (30%),1% (30%),Heart Of The Swamp
Razortail,Rare,PM,plant+metal,12:00:00,5%,10% (20%),1% (30%),1% (30%),One Prickly Pear
Bellflower,Rare,PI,light+plant,16:00:00,3%,4% (15%),1% (30%),1% (30%),Flower Power
Rainbow,Epic,Rb,[4 elements],48:00:00,1%,1% (5%),0.5% (25%),0.5% (10%),Polyhue Palms
Leap Year,Epic,Rb,[4 elements],14:30:00,4% (2%),1% (5%),?% (?%),?% (?%),Intercalary Anarchy
Celtic,Epic,Rb,Storm+plant,17:00:00,3% (2%),1% (5%),?% (?%),?% (?%),Knots for Naught
Double Rainbow,Epic,Rb,[4 elements],60:00:00,0.5%,0.5% (5%),0.25% (25%),0.25% (10%),Doublehue Ditch
Prism,Epic,Rb,light+water,42:00:00,3%,1% (5%),?% (?%),?% (?%),Dark Side of the Moon
Aurora,Epic,Rb,[4 elements],54:00:00,4% (1%),3% (5%),?% (?%),?% (?%),Boreal Brink
Double Leap Year,Epic,Rb,[4 elements],29:00:00,3% (1%),1% (5%),?% (25%),?% (25%),Twice Leapt Valley
Party,Epic,Rb,[4 elements],52:00:00,3% (1%),3% (5%),5% (?%),5% (?%),Celebratory Expedition
Chromacorn,Epic,RRb,Rainbow+Double Rainbow+rift,48:00:00,0.5%,0% (0%),0% (0%),0.25% (10%),Chromatic Cave
Corrupticorn,Epic,RRb,,48:00:00,0%,0% (0%),0% (0%),0% (15%),Beauty in Shadow
Triple Leap Year,Epic,Rb,[4 elements],30:00:00,3% (1%),1% (5%),5% (30%),5% (30%),Third Leap Year
Spectrapod,Epic,RRb,Chromacorn+Kampos+rift,48:00:00,0.5%,0% (0%),0% (0%),0.25% (10%),Sonoluminescence
Lightmatter,Epic,RbSu,Pharaoh+Prism+[day],25:00:00,2%,1% (5%),5% (30%),5% (30%),Light Up
Darkmatter,Epic,RbMo,Aurora+Nightbloom+[night],25:00:00,2%,1% (5%),5% (30%),5% (30%),You Matter
Enfis,Epic,Rb,[4 elements],29:00:00,3% (1%),3% (5%),5% (30%),5% (30%),Slippery Companion
Triple Rainbow,Epic,Rb,[4 elements],60:00:00,0.5%,0.5% (5%),2.5% (25%),2.5% (10%),Triple the Fun
Light Rift,Primary Rift,IR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),A Gift in the Rift
Dark Rift,Primary Rift,DR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Adrift in the Rift
Alpenglow,Rare,EIR,earth+light+rift+[lightning trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Lighting the Rift
Blightwing,Rare,FAR,fire+air+rift+[dark trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Timeless Tail
Fire Rift,Primary Rift,FR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Chaotic Encounter
Plant Rift,Primary Rift,PR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Rift Innovations
Snowsquall,Rare,CWR,cold+water+rift+[cold trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Tentacle Terrace
Spore,Rare,PMR,plant+metal+rift+[plant trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Field of Shrooms
Voltaic,Rare,LDR,dark+lightning+rift+[dark trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Scaredy Cave
Cold Rift,Primary Rift,CR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Freezey Chaos
Earth Rift,Primary Rift,ER,,48:00:00,$%,0% (0%),0% (0%),1% (15%),A Rift Aground
Lightning Rift,Primary Rift,LR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Bounceback Bluff
Water Rift,Primary Rift,WR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Oceanic Portals
Air Rift,Primary Rift,AR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Questionable Heights
Metal Rift,Primary Rift,MR,,48:00:00,$%,0% (0%),0% (0%),1% (15%),Tenacious Drop
Antumbra,Rare,IDR,light+dark+rift+[rift align:earth],0:00:00,5%,0% (0%),0% (0%),1% (15%),Pincer Power
Ghast,Rare,IDR,light+dark+rift+[fire trait],0:00:00,5%,0% (0%),0% (0%),1% (15%),Phantasm Adrift
Kampos,Rare,WAR,rift+[water trait],0:00:00,3% (1%),0% (0%),0% (0%),1% (15%),Ye Olde Rescue
Plumewing,Rare,FAR,rift+[air trait],0:00:00,3% (1%),0% (0%),0% (0%),1% (15%),Shiny Start
Viridian,Rare,PAR,Dodo+Malachite+rift+[dodo fire trait]+[malachite light trait],0:00:00,1%,0% (0%),0% (0%),1% (15%),Ardent Valley
Zaffer,Rare,CLR,Blue Fire+Plasma+rift+[blue fire air trait]+[plasma metal trait],0:00:00,4%,0% (0%),0% (0%),1% (15%),Blues Chase
Lacuna,Rare,IDR,Mirage+Shadow+rift+[mirage water trait]+[shadow air trait],0:00:00,3%,0% (0%),0% (0%),1% (15%),Lake of the Abyss
Thunderbird,Rare,ELR,lightning+earth+rift+[fire trait],0:00:00,3%,0% (0%),0% (0%),1% (15%),Bolt Buffet
Frostfluff,Rare,ECR,cold+earth+rift+[rift align:cold],0:00:00,3%,0% (0%),0% (0%),1% (15%),Fluff Bluff
Nimbus,Rare,FWR,fire+water+rift+[light trait],0:00:00,2%,0% (0%),0% (0%),1% (15%),Nimble Narrows
Tumblethorn,Rare,PER,plant+earth+rift+[earth trait],0:00:00,2%,0% (0%),0% (0%),1% (15%),Tumbling Along
Yolkwing,Rare,FDR,rift+[fire trait],0:00:00,2.5%,0% (0%),0% (0%),1% (15%),Eggstraordinary Eggventure
Sandscale,Rare,EIR,earth+light+rift+[rift align:light],0:00:00,4%,0% (0%),0% (0%),1% (20%),Dune Diving
Abraxas,Rare,LDR,lightning+dark+rift+[rift align:lightning],23:00:00,4%,0% (0%),0% (0%),1% (20%),Power Overwhelming
Chromacorn,Epic,RRb,Rainbow+Double Rainbow+rift,48:00:00,0.5%,0% (0%),0% (0%),0.25% (10%),Chromatic Cave
Corrupticorn,Epic,RRb,,48:00:00,0%,0% (0%),0% (0%),0% (15%),Beauty in Shadow
Rigel,Galaxy,RGa,galaxy+galaxy+rift+[own all galaxy],16:00:00,0.5%,0% (0%),0% (0%),0% (0%),A Glad Dose of Adventure
Pearlescent,Epic,RCh,Prism+Starwing+rift+[prism light trait]+[starwing dark trait],0:00:00,0.5%,0% (0%),0% (0%),0.25% (10%),Pretty Power
Spectrapod,Epic,RRb,Chromacorn+Kampos+rift,48:00:00,0.5%,0% (0%),0% (0%),0.25% (10%),Sonoluminescence
Nox,Rare,IDR,Voltaic+Antumbra+rift,48:00:00,3%,0% (0%),0% (0%),0.25% (10%),From the Great Beyond
Vaul,Rare,EMDR,earth+metal+rift+[dark trait],0:00:00,1%,0% (0%),0% (0%),1% (15%),Claws of Steel
Seasonal,Epic,Se,air+fire+plant,48:00:00,2%,1% (5%),?% (?%),?% (?%),Hemisphere Pioneer
Spring,Epic,Se,cold+lightning+fire,24:00:00,4%,3% (5%),?% (?%),?% (?%),Akitu's Assay
Summer,Epic,Se,fire+lightning+water,24:00:00,4%,3% (5%),?% (?%),?% (?%),Sunshine Soirée
Autumn,Epic,Se,fire+cold+air,24:00:00,4%,3% (5%),?% (?%),?% (?%),The Fall
